portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1472157092-venta-apartamento-en-pocitos-de-1-y-2-dormitorios-_JM,Venta Apartamento En Pocitos De 1 Y 2 Dormitorios,Proyecto,Pocitos,USD,183900,,1,1,74
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1472721572-venta-de-apartamentos-de-2-dorm-local-cordon-_JM,Venta De Apartamentos De 2 Dorm & Local Cordon,Proyecto,Cordón,USD,153900,,2,1,262
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1473847430-venta-aptos-mono-1-2-y-3dorm-crenta-tres-cruces-_JM,"Venta Aptos Mono, 1, 2 Y 3dorm C/renta Tres Cruces",Proyecto,Tres Cruces,USD,99000,,3,1,82
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-651522671-yass-ponce-pocitos-_JM,Yass Ponce - Pocitos,Proyecto,Pocitos,USD,235000,,2,2,66
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-729381276-yass-soho-cordon-sur-_JM,Yass Soho - Cordon Sur,Proyecto,Cordón,USD,98000,,1,1,50
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-728104006-domus-punta-carretas-_JM,Domus Punta Carretas,Proyecto,Punta Carretas,USD,230000,,1,1,131
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-712767758-tres-cruces-plaza-venta-apartamentos-en-pozo-y-al-costo-_JM,Tres Cruces Plaza Venta Apartamentos En Pozo Y Al Costo,Proyecto,Tres Cruces,USD,103450,,1,1,169
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1226268332-feel-malvin-ii-_JM,Feel Malvín Ii,Proyecto,Malvin,USD,98000,,1,1,43
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1186982878-venta-apartamentos-2-3-y-4-dormitorios-proyecto-calyptus-zen-ii-_JM,"Venta Apartamentos 2, 3 Y 4 Dormitorios. Proyecto Calyptus Zen Ii",Proyecto,Carrasco,UYU,350000,,2,2,391
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1226218002-paseo-flores-_JM,Paseo Flores,Proyecto,Brazo Oriental,USD,95000,,2,1,56
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1442035128-venta-aptos-mono-1-y-2-dorm-pocitos-_JM,"Venta Aptos Mono, 1 Y 2 Dorm, Pocitos",Proyecto,Pocitos,USD,123500,,3,1,87
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-696118133-certa-jardin-monoambientes-1-y-2-dormitorios-con-_JM,"Certa Jardín, Monoambientes, 1 Y 2 Dormitorios Con",Proyecto,Prado,USD,100700,,2,1,75
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1070962026-liv-district-carrasco-_JM,Liv District Carrasco,Proyecto,Carrasco,USD,242000,,1,1,149
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1442097222-venta-aptos-mono-1-2-y-3-dorm-la-blanqueada-_JM,"Venta Aptos Mono, 1, 2 Y 3 Dorm La Blanqueada",Proyecto,La Blanqueada,USD,100510,,3,1,89
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-684556271-el-botero-apartamentos-a-estrenar-a-pasos-de-la-rambla-entrega-marzo-2027-_JM,El Botero  Apartamentos A Estrenar A Pasos De La Rambla | Entrega Marzo 2027,Proyecto,Malvin,USD,160000,,1,1,65
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1418153192-be-park-life-2-apartamentos-en-carrasco-de-1-2-y-3-dormitorios-_JM,"Be Park Life 2 Apartamentos En Carrasco De 1, 2 Y 3 Dormitorios",Proyecto,Carrasco Norte,USD,143600,,1,1,98
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1441996566-venta-apartamentos-mono-1-dorm-punta-carretas-_JM,"Venta Apartamentos Mono, 1 Dorm, Punta Carretas",Proyecto,Punta Carretas,USD,120280,,1,1,62
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-1464742592-nouveau-roxlo-_JM,Nouveau Roxlo,Proyecto,Cordón,USD,120000,,1,1,45
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-697680469-oda-punta-carretas-_JM,Oda Punta Carretas,Proyecto,Punta Carretas,USD,195000,,1,1,117
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-697668433-edificio-carrasco-_JM,Edificio - Carrasco,Proyecto,Carrasco,USD,427000,,2,2,227
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-769859812-nostrum-plaza-3-apartamentos-mono-1-2-y-3-dormitorios-en-tres-cruces-_JM,"Nostrum Plaza 3 | Apartamentos Mono, 1, 2 Y 3 Dormitorios En Tres Cruces",Proyecto,Tres Cruces,USD,82000,,3,1,77
MercadoLibre,venta,https://apartamento.mercadolibre.com.uy/MLU-678526990-venta-apartamento-monoambiente-1-y-2-dormitorios-en-parque-batlle-o2-tower-_JM,"Venta Apartamento Monoambiente, 1 Y 2 Dormitorios En Parque Batlle - O2 Tower",Proyecto,Parque Batlle,USD,91400,,2,1,106
