portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Veocasas,venta,https://veocasas.com/properties/cmg83yp1801xw1igyjnmv2zvd,APARTAMENTO EN PUERTO DEL BUCEO,Apartamento,Buceo,USD,665000,40000,3,3,
Veocasas,venta,https://veocasas.com/properties/cms56inp600h8hcc06qy0odjz,Monoambiente Nostrum Malvín,Apartamento,Malvín,USD,108086,,0,1,
Veocasas,venta,https://veocasas.com/properties/cmlbyv6fw00dq62clktvbm5n3,Apartamento a estrenar de 1 dormitorio en Parque Batlle,Apartamento,Parque Batlle,USD,146500,4000,1,1,54.0
Veocasas,venta,https://veocasas.com/properties/cmp3pmunn223fyw2ks8cqsskv,Espectacular casa en el Pocitos Nuevo,Casa,Pocitos Nuevo,USD,890000,,4,3,534.0
Veocasas,venta,https://veocasas.com/properties/cms39y7xu0319car0mme475m2,"Apartamento Duplex con Balcón en Venta en Unión, Montevideo",Apartamento,Unión,USD,80000,7500,2,1,
Veocasas,venta,https://veocasas.com/properties/cmrv44ht602cc5os3eov21bxb,Venta Oficina en Tres Cruces,Oficina,Tres Cruces,USD,95000,6970,,,
Veocasas,venta,https://veocasas.com/properties/cmoiilm2b00f36dewpj0yj2in,"Apartamento en venta de 2 dormitorios en Torres Nuevo Centro – Piso 17, vista despejada",Apartamento,Centro,USD,179900,9500,2,1,
Veocasas,venta,https://veocasas.com/properties/cmoipqnal00pwr5143bsfrpjj,Venta y Alquiler casa Ph 3 dormitorios + barbacoa en Jardines de Carrasco - Ref 709,Casa,Carrasco,USD,850000,,3,3,352.0
Veocasas,venta,https://veocasas.com/properties/cmqshcju404681lbtwp7bn8ci,Venta apartamento 3 dormitorios con balcón y patio (alquilado). Tres Cruces,Apartamento,Tres Cruces,USD,146500,4500,3,1,103.1
Veocasas,venta,https://veocasas.com/properties/cmpljkdr53yjojwui05mbq4i8,Apartamento en venta de 3 dormitorios y 3 baños en LIV District Carrasco,Apartamento,Carrasco,USD,479000,15000,3,2,
Veocasas,venta,https://veocasas.com/properties/cmrv4cuvn02a672d85j2yyfc7,Casa Venta 3 Dormitorios Fondo Parrillero Garaje Buceo,Casa,Buceo,USD,340000,,3,3,443.0
Veocasas,venta,https://veocasas.com/properties/cmig20p7o0apvjqifkbi2k355,Apartamento en Venta Penthouse 4 Dormitorios Calefacción Garaje Estufa a Leña Punta Carretas,Apartamento,Punta Carretas,USD,469000,24000,4,3,184.0
Veocasas,venta,https://veocasas.com/properties/cmrp7md3g01tz42mhn98slrwd,Acercate a conocer este apartamento de  2 dormitorios con terraza de 13 m2 y sol,Apartamento,,USD,229000,6400,2,1,
Veocasas,venta,https://veocasas.com/properties/cmri1s0uc0eyssffwvsugx371,Independiente con patio y opción de garage,Garage,,USD,128000,800,2,2,65.0
Veocasas,venta,https://veocasas.com/properties/cmo3412zc071n9xbn40kqsci7,"Apartamento en Rambla Pocitos con vista al mar, 3 dormitorios + servicio y garage",Apartamento,Pocitos,USD,515000,32500,3,3,
Veocasas,venta,https://veocasas.com/properties/cmhb0xcfu003ic43xidxdpg6o,Venta apartamento de 3 dormitorios + 2 garajes - Terrazas del Polo - Ref 1373,Apartamento,,USD,540000,,3,3,
Veocasas,venta,https://veocasas.com/properties/cmrjmp1rf0h0c2h22owl48d3o,Apartamento en Venta en Cordon Sur  dormitorios  baños con balcon al frente,Apartamento,Cordón Sur,USD,248700,15000,3,2,101.0
Veocasas,venta,https://veocasas.com/properties/cmoez8wbw0cxa23vyk8hook7a,Divino Apto Planta Baja con Patio a metros de Rambla Playa Honda,,,USD,378000,12800,3,4,
Veocasas,venta,https://veocasas.com/properties/cmovsqslb0323j0qraw6bgmmw,"TORRES DEL PRADO | Confort, vistas y amenities premium",,Prado,USD,298000,20000,3,2,
Veocasas,venta,https://veocasas.com/properties/cmo5zrz9d5u47fumtf6xxlqwc,Venta Valor Llave Peluquería unisex en Buceo,,Buceo,USD,6900,2100,,,
Veocasas,venta,https://veocasas.com/properties/cmosrsfjn1y17r7kfcntav29h,"DELTA Blanes  Ubicación y calidad , inversión segura.",,,USD,133000,,1,1,
Veocasas,venta,https://veocasas.com/properties/cmpfuw6qq008zjwui9reiei1j,Espectacular apto 1 dormitorio Piso alto Gran terraza y vistas abiertas,Piso,,USD,161500,4500,1,1,
Veocasas,venta,https://veocasas.com/properties/cmr16ka8502m1rbqrmikllkh7,Apartamento 2 dormitorios en piso alto. Terraza y vista.,Apartamento,,USD,194000,6000,2,1,
Veocasas,venta,https://veocasas.com/properties/cmiewawme00dwe7x8kr2wkho4,Estupendo apartamento de 2 dormitorios con terraza,Apartamento,,USD,174600,6500,2,1,
Veocasas,venta,https://veocasas.com/properties/cmrds1s1k00039tqwlu2ckf5j,Monoambiente  con terraza 4 m2 Amenities con piscina,Apartamento,,USD,116000,,0,1,
Veocasas,venta,https://veocasas.com/properties/cmqgxa1qv03rxxez82d6b8chf,"CASA PADRÓN ÚNICO EN PRADO NORTE | AMPLITUD, PORTE Y GRAN TERRENO",Casa,Prado,USD,245000,,3,2,563.0
Veocasas,venta,https://veocasas.com/properties/cmqshcf3o04501lbtejqn5tzm,"Venta apartamento 1 dormitorio alquilado. Malvín sobre Av. Italia. - Rentabilidad anual 6,65%",Apartamento,Malvín,USD,83500,2600,1,1,48.5
Veocasas,venta,https://veocasas.com/properties/cmq9iwomi01m0t7tdkds8ih1u,"Venta de Apartamento en Villa Biarritz 10291, Punta Carretas, de 2 dormitorios, en piso alto con vista al mar",Apartamento,Punta Carretas,USD,520000,12000,2,2,1.0
Veocasas,venta,https://veocasas.com/properties/cmp5fcybs3xexdomwylaurqwh,"Casa en venta en Carrasco 10258, amplia, con gran terreno, piscina, barbacoa y casa independiente al fondo",Casa,Carrasco,USD,980000,,6,5,885.0
Veocasas,venta,https://veocasas.com/properties/cmqshclrf046q1lbtc3y9hbso,Venta apartamento 3 dormitorios  al frente. Tres Cruces (Alquilado),Apartamento,Tres Cruces,USD,142500,4500,3,1,104.8
Veocasas,venta,https://veocasas.com/properties/cmoken8s102d7132qi7iyzfgt,Venta/Alquiler apartamento 1 dormitorio + garaje Pocitos Nuevo - Ref 143,Apartamento,Pocitos Nuevo,USD,195000,8000,1,1,
Veocasas,venta,https://veocasas.com/properties/cmq6aixk941dlgi7gajf6cpgy,Apartamento de 1 dormitorio con terraza en venta,Apartamento,,USD,198800,,1,1,59.0
Veocasas,venta,https://veocasas.com/properties/cmr27icrk08nv18umek4rt58s,"Venta De Apartamento Al Frente. 2 Dormitorios, Amplios Ventanales y Terrazas. Moderno Edificio. Puerto Del Buceo!",Apartamento,Buceo,USD,215000,,2,1,
Veocasas,venta,https://veocasas.com/properties/cmr27icbi08np18umjd8wjjum,"Venta De Apartamento Al Frente. 1 Dormitorio, Amplios Ventanales. Moderno Edificio. Puerto Del Buceo!",Apartamento,Buceo,USD,199000,,1,1,
Veocasas,venta,https://veocasas.com/properties/cmr27ic3b08nm18umlclkt2ai,"Venta en JOY Montevideo, 2 dormitorios, 2 baños, amenities, seguridad",,,USD,325000,19000,2,2,
Veocasas,venta,https://veocasas.com/properties/cmlhon3pg00iwj32h2yivdoce,Casa de 4 dormitorios en venta en Prado,Casa,Prado,USD,290000,,4,2,247.0
